N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"55,900","상승1,100",+2.01%,100,"3,309,078","5,919,638",49.69,"6,983,364",11.29,9.03
2,SK하이닉스,"194,000","상승3,900",+2.05%,"5,000","1,412,325","728,002",53.78,"922,975",7.14,31.06
3,LG에너지솔루션,"319,750","상승1,750",+0.55%,500,"748,215","234,000",4.23,"65,327",-73.44,-4.93
4,삼성바이오로직스,"999,000","하락41,000",-3.94%,"2,500","711,028","71,174",13.04,"79,342",65.63,10.45
5,현대차,"194,100","상승4,200",+2.21%,"5,000","406,477","209,416",35.45,"313,293",4.22,12.43
6,한화에어로스페이스,"841,000","하락37,000",-4.21%,"5,000","383,338","45,581",47.09,"160,955",17.92,53.94
7,삼성전자우,"46,400",상승600,+1.31%,100,"378,612","815,975",73.75,"521,898",9.37,N/A
8,기아,"91,400","상승2,100",+2.35%,"5,000","363,473","397,673",38.59,"405,734",3.74,19.09
9,KB금융,"91,800",하락200,-0.22%,"5,000","361,259","393,528",75.18,"462,270",7.23,8.86
10,HD현대중공업,"403,500","하락9,500",-2.30%,"5,000","358,200","88,773",10.28,"142,071",57.63,11.39
11,셀트리온,"152,000","하락6,000",-3.80%,"1,000","338,945","222,990",22.12,"948,370",81.94,2.46
12,NAVER,"191,100",상승100,+0.05%,100,"302,773","158,437",48.64,"234,386",16.04,7.90
13,신한지주,"51,500",상승800,+1.58%,"5,000","259,274","503,445",57.34,"443,464",5.89,8.11
14,현대모비스,"259,500","상승4,000",+1.57%,"5,000","241,322","92,995",41.72,"59,635",5.97,9.35
15,한화오션,"77,400","하락2,400",-3.01%,"5,000","237,164","306,413",12.80,"1,778,069",44.90,11.52
16,메리츠금융지주,"118,300",상승100,+0.08%,500,"212,957","180,014",16.36,"114,167",9.94,23.44
17,삼성물산,"123,600",상승600,+0.49%,100,"210,091","169,977",27.68,"91,390",10.07,6.83
18,POSCO홀딩스,"259,000",상승500,+0.19%,"5,000","209,616","80,933",29.15,"87,387",19.81,2.00
19,HD한국조선해양,"273,000","하락10,500",-3.70%,"5,000","193,211","70,773",32.11,"156,416",16.48,11.16
20,두산에너빌리티,"29,400","상승1,550",+5.57%,"5,000","188,325","640,561",24.45,"10,267,658",168.97,1.52
21,하나금융지주,"64,200",상승400,+0.63%,"5,000","184,409","287,241",66.56,"235,626",4.99,9.11
22,크래프톤,"373,500","하락1,500",-0.40%,100,"178,974","47,918",41.87,"32,619",13.75,21.10
23,삼성화재,"377,500","상승2,000",+0.53%,500,"178,840","47,375",53.80,"18,966",9.21,13.11
24,고려아연,"851,000","상승3,000",+0.35%,"5,000","176,185","20,703",12.22,"10,683",92.60,2.28
25,한국전력,"27,000",상승50,+0.19%,"5,000","173,330","641,964",18.20,"1,099,794",4.96,9.22
26,삼성생명,"85,200",상승600,+0.71%,500,"170,400","200,000",21.73,"52,801",8.09,6.18
27,HMM,"18,990",상승830,+4.57%,"5,000","167,309","881,039",9.23,"1,943,279",3.76,15.35
28,카카오,"37,500",상승550,+1.49%,100,"166,468","443,914",28.53,"898,184",302.42,0.56
29,LG화학,"206,000",상승500,+0.24%,"5,000","145,420","70,592",30.22,"59,735",-23.34,-2.11
30,KT&G,"116,600","하락1,600",-1.35%,"5,000","142,325","122,062",43.87,"161,812",12.99,12.66
31,SK이노베이션,"91,800","상승1,000",+1.10%,"5,000","138,650","151,035",13.50,"105,719",-4.32,-9.65
32,우리금융지주,"17,760",상승70,+0.40%,"5,000","131,884","742,592",45.14,"553,625",4.29,9.39
33,KT,"51,300",하락200,-0.39%,"5,000","129,287","252,022",49.00,"136,462",27.73,2.85
34,삼성중공업,"14,500",하락340,-2.29%,"1,000","127,600","880,000",29.92,"5,723,358",198.63,1.77
35,SK스퀘어,"94,500",상승800,+0.85%,100,"125,251","132,541",52.19,"85,618",3.46,21.70
36,HD현대일렉트릭,"344,500","상승10,000",+2.99%,"5,000","124,182","36,047",31.18,"182,567",24.76,39.34
37,현대로템,"113,500","하락11,900",-9.49%,"5,000","123,876","109,142",31.23,"1,554,965",30.45,21.85
38,기업은행,"15,210",상승60,+0.40%,"5,000","121,288","797,426",13.95,"234,741",4.59,8.06
39,삼성SDI,"171,500","상승1,100",+0.65%,"5,000","117,931","68,765",31.37,"105,976",20.58,3.13
40,LG전자,"72,000",상승900,+1.27%,"5,000","117,826","163,648",29.54,"168,287",35.43,1.81
41,SK텔레콤,"51,900",하락500,-0.95%,100,"111,476","214,790",42.41,"653,704",8.93,10.83
42,하이브,"263,500","하락6,500",-2.41%,500,"109,753","41,652",18.69,"104,652","1,171.11",0.31
43,카카오뱅크,"22,800",상승100,+0.44%,"5,000","108,751","476,976",17.18,"96,872",24.70,6.95
44,LG,"68,400",상승700,+1.03%,"5,000","107,594","157,301",35.02,"73,172",19.08,2.16
45,삼성에스디에스,"129,900",상승900,+0.70%,500,"100,514","77,378",19.28,"43,309",13.28,8.42
46,SK,"137,800",상승400,+0.29%,200,"99,909","72,503",23.61,"83,061",-7.82,-5.64
47,포스코퓨처엠,"122,800","상승2,300",+1.91%,500,"95,125","77,463",9.41,"165,558",-44.80,-7.98
48,삼성전기,"122,000","상승4,800",+4.10%,"5,000","91,126","74,694",31.75,"259,761",13.94,8.16
49,한국항공우주,"88,600","하락4,500",-4.83%,"5,000","86,363","97,475",35.12,"892,495",50.20,10.42
50,포스코인터내셔널,"48,500",상승150,+0.31%,"5,000","85,323","175,923",6.31,"135,299",16.58,8.14
51,LIG넥스원,"386,000","하락16,000",-3.98%,"5,000","84,920","22,000",31.03,"145,869",38.30,19.59
52,유한양행,"104,000","하락3,200",-2.99%,"1,000","83,417","80,209",18.16,"308,590",119.68,3.41
53,KODEX CD금리액티브(합성),"1,069,545",상승80,+0.01%,0,"83,353","7,793",0.10,"157,605",N/A,N/A
54,대한항공,"22,500",상승450,+2.04%,"5,000","82,850","368,221",17.47,"733,494",6.31,13.17
55,한화시스템,"43,750","하락3,100",-6.62%,"5,000","82,652","188,919",7.57,"2,430,832",18.19,19.63
56,현대글로비스,"108,900","상승2,200",+2.06%,500,"81,675","75,000",49.32,"120,422",7.47,13.24
57,한미반도체,"82,500","상승5,100",+6.59%,100,"79,707","96,614",8.30,"1,436,410",52.45,27.43
58,TIGER 미국S&P500,"20,025",상승325,+1.65%,0,"79,489","396,950",0.06,"1,636,247",N/A,N/A
59,아모레퍼시픽,"123,900","하락1,600",-1.27%,500,"72,473","58,493",23.90,"158,188",14.42,11.69
60,HD현대마린솔루션,"161,500","하락8,300",-4.89%,500,"72,399","44,829",29.06,"114,582",30.46,44.98
61,삼양식품,"960,000","하락33,000",-3.32%,"5,000","72,317","7,533",17.20,"28,320",26.59,39.37
62,미래에셋증권,"12,590",상승710,+5.98%,"5,000","71,803","570,316",14.46,"1,510,867",10.24,7.94
63,LS ELECTRIC,"231,500","상승12,000",+5.47%,"5,000","69,450","30,000",22.64,"192,990",29.09,13.44
64,SK바이오팜,"88,200","하락2,200",-2.43%,500,"69,072","78,313",11.17,"286,858",28.69,58.01
65,코웨이,"92,000","상승2,700",+3.02%,500,"66,759","72,564",61.20,"110,785",12.00,19.38
66,HD현대미포,"165,200","하락6,700",-3.90%,"5,000","65,984","39,942",18.68,"294,449",62.53,5.25
67,DB손해보험,"91,900","상승1,700",+1.88%,500,"65,065","70,800",45.88,"116,903",3.51,18.98
68,HD현대,"80,000",상승600,+0.76%,"1,000","63,194","78,993",21.33,"136,434",12.41,6.36
69,KODEX 머니마켓액티브,"102,765",상승5,0.00%,0,"62,519","60,837",0.00,"325,697",N/A,N/A
70,KODEX 200,"34,500",상승235,+0.69%,0,"62,117","180,050",29.56,"1,797,878",N/A,N/A
71,두산,"360,000","상승15,000",+4.35%,"5,000","59,486","16,524",11.16,"163,207",-34.08,-14.57
72,S-Oil,"52,000",하락100,-0.19%,"2,500","58,543","112,583",73.75,"81,520",-31.40,-2.18
73,한진칼,"86,700","상승2,200",+2.60%,"2,500","57,883","66,762",21.80,"12,333",11.74,16.75
74,LG유플러스,"13,000",상승130,+1.01%,"5,000","56,759","436,611",35.81,"1,020,895",15.15,4.40
75,한화솔루션,"32,550",하락100,-0.31%,"5,000","55,951","171,893",14.13,"2,339,098",-4.04,-15.99
76,맥쿼리인프라,"11,510",하락20,-0.17%,0,"55,124","478,922",9.19,"366,708",N/A,N/A
77,현대차2우B,"153,800","상승2,500",+1.65%,"5,000","54,998","35,759",59.24,"49,397",3.34,N/A
78,LG씨엔에스,"55,500",상승700,+1.28%,500,"53,772","96,886",1.18,"204,727",13.28,18.32
79,NH투자증권,"15,730",상승410,+2.68%,"5,000","51,515","327,492",16.76,"630,563",7.96,8.73
80,LG생활건강,"323,000","하락3,500",-1.07%,"5,000","50,447","15,618",28.35,"18,647",30.26,3.44
81,TIGER CD금리투자KIS(합성),"56,042",상승2,0.00%,0,"50,160","89,504",0.01,"88,619",N/A,N/A
82,효성중공업,"531,000","상승13,000",+2.51%,"5,000","49,513","9,325",15.84,"32,977",22.24,14.90
83,한국타이어앤테크놀로지,"39,950",상승900,+2.30%,500,"49,488","123,875",36.78,"175,991",4.44,10.79
84,오리온,"123,800","하락3,100",-2.44%,500,"48,946","39,536",29.23,"64,173",9.33,16.57
85,현대건설,"43,800","상승2,600",+6.31%,"5,000","48,774","111,356",21.18,"769,335",-29.20,-2.09
86,삼성증권,"54,300","상승1,300",+2.45%,"5,000","48,490","89,300",30.62,"255,631",5.39,12.89
87,삼성카드,"41,800",하락200,-0.48%,"5,000","48,429","115,859",6.49,"28,537",7.29,8.00
88,한국금융지주,"86,900","상승2,700",+3.21%,"5,000","48,426","55,726",38.94,"173,766",5.15,11.54
89,TIGER 미국나스닥100,"127,600","상승2,705",+2.17%,0,"48,041","37,650",0.13,"165,388",N/A,N/A
90,두산밥캣,"48,000",상승650,+1.37%,500,"46,011","95,856",35.31,"62,733",8.54,8.77
91,LS,"138,800","상승3,400",+2.51%,"5,000","44,694","32,200",14.16,"117,369",18.83,5.09
92,넷마블,"50,600",하락900,-1.75%,100,"43,492","85,954",24.99,"113,614",169.80,0.49
93,LG디스플레이,"8,630",상승180,+2.13%,"5,000","43,150","500,000",20.22,"551,918",-1.59,-37.21
94,KODEX 미국S&P500,"18,425",상승290,+1.60%,0,"42,608","231,250",0.11,"1,284,011",N/A,N/A
95,삼성E&A,"20,250",상승430,+2.17%,"5,000","39,690","196,000",43.76,"335,023",5.24,19.65
96,카카오페이,"29,350",하락50,-0.17%,500,"39,529","134,680",37.58,"110,016",-287.75,-0.73
97,KODEX KOFR금리액티브(합성),"110,240",상승10,+0.01%,0,"38,483","34,908",0.00,"173,765",N/A,N/A
98,에이피알,"101,800",하락900,-0.88%,100,"38,156","37,482",21.22,"504,972",35.82,41.34
99,CJ,"129,500","상승1,100",+0.86%,"5,000","37,784","29,177",11.22,"82,913",45.97,1.83
100,한화,"50,000","하락2,000",-3.85%,"5,000","37,479","74,959",15.86,"231,129",6.32,7.19
101,CJ제일제당,"247,500","하락1,500",-0.60%,"5,000","37,259","15,054",22.19,"13,127",27.36,1.97
102,SKC,"98,000","상승1,600",+1.66%,"5,000","37,111","37,868",14.64,"67,801",-8.37,-34.34
103,에코프로머티,"52,600",상승600,+1.15%,500,"36,784","69,932",23.06,"155,656",-85.11,-5.56
104,GS,"39,300",상승550,+1.42%,"5,000","36,516","92,915",17.38,"92,616",6.56,4.12
105,현대차우,"152,400","상승2,000",+1.33%,"5,000","36,381","23,872",60.87,"37,923",3.31,N/A
106,현대오토에버,"132,500","상승2,200",+1.69%,500,"36,337","27,424",1.90,"23,758",21.27,10.40
107,포스코DX,"23,900",상승50,+0.21%,500,"36,336","152,035",2.88,"185,802",41.28,17.92
108,키움증권,"145,000","상승2,500",+1.75%,"5,000","35,491","24,477",26.25,"94,030",4.95,15.98
109,강원랜드,"16,550",상승40,+0.24%,500,"35,407","213,940",12.89,"146,871",7.75,12.09
110,한국가스공사,"38,000",상승200,+0.53%,"5,000","35,079","92,313",10.67,"128,391",3.06,11.21
111,LG이노텍,"147,900","상승9,400",+6.79%,"5,000","35,004","23,667",22.91,"158,690",7.79,8.92
112,한미약품,"269,000","하락2,500",-0.92%,"2,500","34,462","12,811",12.11,"74,067",28.41,11.89
113,JB금융지주,"17,510",상승210,+1.21%,"5,000","33,953","193,908",35.72,"182,977",5.05,12.80
